uid,company_v,satis,poverq,pq,VN_1009_TP01,VN_1009_TP02,VN_1009_TP03,VN_1009_TP04,VN_1009_TP05,VN_1009_TP06,VN_1009_TP07,VN_1009_TP08,VN_1009_TP09,VN_1009_TP10,VN_1009_TP11,VN_1009_TP12,VN_1009_TP13,VN_1009_TP14,VN_1009_TP15,VN_1009_TP16,VN_1009_TP17,VN_1009_TP18,VN_1009_TP19,Incomplete?
19,AMAZON,8,8,7,9,8,6,6,7,8,7,9,6,7,8,8,7,6,6,7,7,6,7,0
21,AMAZON,8,7,7,9,9,7,8,9,6,8,9,6,8,9,7,8,6,8,6,8,6,6,0
55,AMAZON,7,8,7,7,7,8,6,7,6,6,8,7,8,8,9,8,6,7,8,7,6,6,0
77,AMAZON,9,8,9,9,8,10,8,9,10,10,9,9,8,9,8,10,10,9,9,8,8,10,0
175,AMAZON,8,7,7,8,8,9,8,6,7,8,8,7,8,8,6,6,7,7,6,8,7,7,0
285,AMAZON,7,7,7,8,9,7,7,8,6,9,7,6,8,8,9,7,6,7,8,8,9,6,0
305,AMAZON,7,7,8,7,9,7,8,7,9,8,7,7,8,7,6,7,6,6,8,7,7,6,1
348,AMAZON,8,8,6,8,8,6,7,6,8,6,9,7,7,7,8,6,6,8,6,6,7,7,1
362,AMAZON,7,8,7,7,8,7,9,7,6,6,6,7,8,7,9,7,6,8,8,9,7,6,0
391,AMAZON,8,7,7,7,8,6,6,8,6,7,9,6,7,8,9,7,6,8,8,9,8,6,0
424,AMAZON,7,8,8,7,9,7,8,7,7,6,8,9,7,7,8,7,6,8,7,8,8,6,0
429,AMAZON,8,7,8,7,8,6,7,6,7,7,9,6,8,8,7,6,7,8,7,8,8,6,0
438,AMAZON,9,9,8,7,9,8,7,8,8,9,9,9,8,9,9,9,8,9,8,8,7,7,0
456,AMAZON,7,7,7,8,9,7,8,8,6,8,9,7,7,8,7,9,8,8,7,8,7,7,0
470,AMAZON,6,8,7,7,8,8,8,7,6,6,8,6,6,7,7,6,6,8,8,7,8,8,0
47,AMAZON,7,7,7,7,6,8,6,7,7,8,8,6,8,7,7,8,6,8,7,7,6,7,0
513,AMAZON,8,8,8,9,7,8,8,7,9,8,8,9,7,9,8,8,7,7,9,7,8,8,0
519,AMAZON,10,9,9,10,8,9,9,8,10,9,10,8,10,9,9,10,8,10,9,9,8,9,0
526,AMAZON,8,8,8,9,7,8,8,7,9,8,8,7,9,8,8,8,9,7,9,8,8,7,0
539,AMAZON,9,9,9,10,8,9,9,10,8,10,9,9,10,8,10,9,9,10,8,8,10,9,0
601,AMAZON,8,8,8,9,7,8,8,7,9,7,8,8,7,7,9,7,8,8,8,7,7,8,0
67,AMAZON,8,8,8,9,7,8,8,7,9,7,8,8,9,7,7,9,7,8,8,7,9,7,0
701,AMAZON,8,8,7,9,7,8,8,7,7,9,8,8,9,7,9,8,8,9,7,8,8,7,0
715,AMAZON,7,7,7,8,6,7,7,6,8,8,6,7,7,6,8,6,7,7,6,8,6,7,0
757,AMAZON,6,7,6,7,6,6,7,6,7,7,6,6,7,6,7,7,6,6,7,6,6,7,0
777,AMAZON,6,6,7,7,6,6,7,7,6,7,6,6,7,6,7,6,6,7,7,6,6,7,0
825,AMAZON,8,8,8,9,7,8,8,7,9,8,9,7,8,8,9,7,7,9,7,8,8,7,0
842,AMAZON,9,9,9,8,10,9,9,10,8,8,10,8,9,9,10,8,9,9,8,8,10,9,0
852,AMAZON,9,9,9,10,8,9,9,8,10,9,10,8,9,9,8,10,8,9,9,8,10,9,0
949,AMAZON,7,7,7,8,6,7,7,6,8,7,7,6,8,7,7,8,6,7,6,8,7,7,0
958,AMAZON,4,4,4,7,6,7,7,6,7,4,4,5,6,7,6,4,6,5,3,4,4,5,0
967,AMAZON,7,7,7,8,6,7,7,6,8,7,8,6,7,7,6,8,8,6,7,7,7,6,0
75,AMAZON,7,7,7,8,6,7,7,8,6,8,7,7,8,6,6,8,7,7,8,6,8,7,0
1010,AMAZON,6,7,6,7,6,6,7,7,6,7,6,6,7,7,6,7,6,6,7,7,6,6,0
1019,AMAZON,8,8,8,8,7,7,9,7,8,8,7,9,8,8,9,7,9,8,8,8,7,8,0
1117,AMAZON,8,9,7,8,7,9,9,8,9,7,7,8,8,7,9,9,8,8,7,9,7,8,0
1163,AMAZON,8,7,7,7,6,8,8,7,8,6,7,7,6,8,8,7,8,7,8,6,7,7,0
1284,AMAZON,7,8,7,7,6,8,7,8,6,7,7,8,6,8,7,7,8,8,6,8,7,7,0
1290,AMAZON,9,9,10,8,8,10,9,10,8,9,9,8,10,8,9,9,10,10,8,9,9,8,0
1344,AMAZON,9,9,8,8,7,9,9,8,9,7,8,8,7,9,9,8,8,7,7,9,8,8,0
1359,AMAZON,6,7,7,6,7,7,6,7,6,7,7,6,7,6,6,7,7,6,6,7,7,6,0
1370,AMAZON,10,10,10,10,9,9,10,9,10,9,10,9,9,10,10,9,10,9,10,10,9,9,0
1373,AMAZON,7,7,7,7,6,7,7,6,7,6,6,7,7,6,7,6,6,7,6,7,6,6,0
1377,AMAZON,7,6,6,7,6,8,8,7,8,6,7,7,6,8,7,7,6,7,7,6,8,7,0
1385,AMAZON,8,9,7,8,7,9,9,8,9,7,8,8,7,9,9,8,9,7,9,9,8,8,0
1403,AMAZON,7,8,6,7,7,6,8,8,7,7,8,6,7,7,8,8,6,7,6,8,8,7,0
1445,AMAZON,7,7,6,6,7,7,6,7,6,7,7,6,6,7,7,6,7,6,7,7,6,6,0
1470,AMAZON,8,7,7,7,7,9,8,9,7,8,8,7,9,8,8,7,7,9,7,8,8,7,0
1503,AMAZON,7,7,7,8,6,7,7,6,8,7,8,6,6,8,6,7,7,8,6,6,8,7,0
1529,AMAZON,9,9,9,8,10,9,9,9,10,8,10,9,9,10,8,10,9,9,10,10,8,9,0
1533,AMAZON,6,7,7,7,6,6,7,7,6,7,6,6,7,6,7,7,6,7,6,6,7,6,0
1548,AMAZON,8,8,7,9,7,8,8,7,9,7,8,8,7,9,7,8,8,7,9,9,7,8,0
1570,AMAZON,7,7,7,8,6,7,7,8,6,6,8,6,7,7,8,6,7,7,8,8,6,7,0
1586,AMAZON,8,9,9,8,8,7,9,9,8,9,7,8,8,7,9,9,8,8,7,9,8,9,0
1643,AMAZON,7,6,8,6,7,6,7,6,7,7,6,6,7,6,7,7,6,6,7,6,7,6,0
1651,AMAZON,6,7,6,7,6,7,6,6,7,6,7,6,7,7,6,7,6,6,7,7,6,7,0
1681,AMAZON,8,9,7,8,8,7,9,9,8,9,7,9,9,8,8,9,9,7,8,8,7,7,0
1718,AMAZON,8,9,7,7,8,7,9,8,9,7,9,9,8,9,7,9,7,8,8,7,8,7,0
1738,AMAZON,7,7,8,7,7,6,8,8,7,8,6,8,8,7,7,6,8,7,7,8,6,7,0
1744,AMAZON,7,8,6,7,7,8,6,8,8,7,7,6,8,6,6,7,7,6,8,8,7,7,0
1833,AMAZON,8,10,8,9,8,9,9,8,10,10,8,9,9,8,10,10,9,9,8,9,8,10,0
1834,AMAZON,10,9,9,9,9,8,10,10,9,10,8,9,9,8,10,10,9,9,8,10,9,9,0
1846,AMAZON,9,9,10,9,10,9,10,9,10,9,9,10,10,9,10,9,10,10,9,9,10,9,0
1901,AMAZON,8,9,7,8,7,9,7,8,8,7,9,7,8,8,9,7,7,9,7,8,8,7,0
1907,AMAZON,6,7,6,7,6,6,7,6,7,7,6,6,7,6,7,6,6,7,7,6,6,7,0
1941,AMAZON,8,8,7,8,7,8,8,7,6,8,8,6,7,6,6,6,6,6,6,7,6,6,0
1947,AMAZON,7,8,6,9,9,8,7,8,6,7,8,6,8,8,7,6,6,7,7,8,8,6,0
1969,AMAZON,8,8,7,9,8,7,7,7,6,8,8,7,7,8,8,6,7,8,8,9,7,6,0
2063,AMAZON,8,8,8,9,9,9,9,8,7,9,9,8,9,7,9,7,8,8,7,8,6,7,1
2104,AMAZON,8,7,8,8,6,7,7,9,7,8,8,7,9,8,8,7,9,8,6,7,7,7,1
2130,AMAZON,7,8,7,9,7,9,8,10,9,9,8,8,8,7,9,8,8,7,6,8,7,8,0
2147,AMAZON,8,10,8,10,9,8,10,6,9,6,7,8,7,7,8,7,8,8,7,6,7,8,0
2159,AMAZON,4,3,2,4,3,6,6,7,5,6,5,5,4,4,6,7,6,6,7,7,6,5,0
217,AMAZON,7,7,8,9,10,10,9,8,8,7,9,6,6,8,8,7,7,8,7,6,9,7,1
2338,AMAZON,9,8,9,9,8,9,9,7,8,8,10,9,7,9,10,9,7,7,8,9,9,10,1
2355,AMAZON,7,6,6,8,7,9,7,7,6,6,8,7,10,7,10,9,8,6,7,8,9,7,0
2378,AMAZON,7,6,7,7,8,7,9,10,7,9,9,8,7,9,8,7,6,6,7,9,8,7,1
2423,AMAZON,8,9,8,8,6,8,7,9,7,9,8,7,8,6,6,9,8,7,8,7,8,8,0
2449,AMAZON,7,8,7,7,9,9,7,6,7,8,8,8,7,8,9,7,6,6,7,7,7,7,0
2461,AMAZON,8,9,6,9,8,9,7,9,9,8,7,6,8,7,7,9,9,8,7,9,9,7,1
2483,AMAZON,9,9,8,8,9,7,9,9,7,7,10,8,7,8,8,9,10,8,9,9,9,9,0
2542,AMAZON,8,7,9,8,6,7,7,8,9,9,9,8,7,8,9,7,7,9,9,9,8,7,0
2562,AMAZON,7,8,7,7,8,7,8,7,8,7,7,7,7,8,9,9,8,7,7,8,6,7,1
2611,AMAZON,8,9,8,6,8,7,7,9,7,9,8,8,7,10,10,8,8,8,8,8,6,7,0
2617,AMAZON,7,9,7,8,9,8,9,8,9,8,7,9,10,9,10,10,7,7,8,9,7,7,0
2625,AMAZON,4,2,2,6,6,5,6,7,6,6,5,6,5,5,3,7,7,5,6,6,5,7,1
2632,AMAZON,10,9,9,10,8,8,9,10,9,9,10,9,10,9,10,9,9,9,10,10,9,9,0
2653,AMAZON,6,8,7,8,8,8,7,8,8,7,6,6,7,7,7,8,6,6,8,7,6,7,0
2711,AMAZON,6,8,7,6,7,8,8,7,6,8,8,8,7,6,7,7,8,6,8,7,6,7,1
2730,AMAZON,6,7,7,8,6,7,7,8,7,7,7,6,8,6,6,8,7,6,8,8,6,7,1
2733,AMAZON,8,7,9,9,7,8,7,9,6,8,8,7,7,8,10,9,6,9,9,9,6,6,0
2746,AMAZON,8,10,9,8,9,7,9,9,6,8,6,7,10,8,10,9,6,9,8,9,8,8,0
2777,AMAZON,7,7,7,8,7,9,8,8,6,6,8,8,6,9,7,7,7,8,8,9,8,8,0
2793,AMAZON,9,10,10,8,7,9,10,9,10,8,8,7,9,8,8,9,9,8,8,9,8,8,1
2795,AMAZON,4,2,5,8,6,7,6,6,8,7,8,7,7,7,7,7,6,6,4,6,6,7,1
277,AMAZON,8,7,8,7,8,6,7,7,6,6,8,7,8,9,10,9,8,7,7,6,8,7,1
2809,AMAZON,7,9,9,9,8,7,7,7,9,9,8,8,7,8,9,7,7,9,8,8,7,6,0
2844,AMAZON,8,6,8,8,9,8,7,8,6,6,7,6,7,8,9,7,7,9,7,8,9,9,0
2883,AMAZON,6,8,6,7,8,7,8,7,7,6,7,7,7,8,8,7,6,6,8,7,6,6,1
287,AMAZON,9,9,7,9,9,9,9,8,7,7,10,10,9,9,9,8,10,10,8,8,8,7,1
2917,AMAZON,8,7,7,8,7,9,7,6,8,6,7,9,7,8,8,7,10,8,7,7,7,7,0
2924,AMAZON,8,7,8,6,6,7,8,9,7,9,8,7,7,10,10,8,9,7,9,8,9,7,1
2936,AMAZON,8,7,8,8,9,9,9,7,6,7,8,8,7,9,9,8,7,8,6,7,7,8,0
2955,AMAZON,7,9,8,8,8,7,8,6,8,8,7,8,7,8,8,7,7,9,8,7,6,7,1
276,AMAZON,5,3,4,6,6,7,6,6,7,5,6,5,5,6,7,4,4,5,3,6,5,6,0
3023,AMAZON,6,8,7,7,6,7,8,8,7,7,6,6,7,7,8,6,6,8,7,8,7,7,0
3026,AMAZON,7,9,9,8,8,8,9,7,7,7,8,7,7,10,9,8,9,9,7,7,8,7,1
3059,AMAZON,8,7,7,8,6,7,8,8,7,7,6,7,8,8,9,7,8,6,7,6,9,9,1
3095,AMAZON,8,9,8,9,9,8,9,9,10,10,8,7,6,7,6,7,9,7,8,9,8,8,0
3157,AMAZON,8,9,9,7,6,8,6,8,7,7,9,8,8,7,8,6,7,7,8,7,9,7,1
3196,AMAZON,8,8,8,9,9,9,9,7,8,8,7,7,7,8,8,7,8,8,7,8,7,6,0
3229,AMAZON,3,2,4,7,7,6,7,7,6,6,7,7,5,6,5,7,7,6,7,6,7,3,1
3317,AMAZON,8,8,9,9,7,8,7,8,6,8,7,7,8,9,9,7,9,7,7,6,9,7,1
3327,AMAZON,8,9,9,9,8,9,9,8,9,6,8,9,7,7,8,6,9,9,7,8,8,8,0
3402,AMAZON,7,7,7,9,7,8,9,6,7,8,7,8,7,9,7,7,7,9,9,9,8,7,0
3433,AMAZON,8,8,8,9,8,7,9,9,8,8,7,8,7,8,7,6,8,9,7,8,6,6,0
3446,AMAZON,8,8,8,8,6,7,6,7,8,7,6,7,8,7,8,9,7,7,7,7,9,7,1
3492,AMAZON,9,8,10,8,7,9,7,7,10,7,10,9,10,9,9,7,9,9,9,9,8,8,0
3500,AMAZON,9,9,9,10,8,10,8,9,9,9,8,9,7,8,9,7,9,8,7,8,7,8,0
3508,AMAZON,9,9,9,9,9,9,7,7,8,8,10,7,10,7,8,9,8,9,9,9,10,8,1
3513,AMAZON,8,6,9,7,8,7,9,6,6,8,7,7,6,9,8,9,7,7,9,9,8,7,0
3573,AMAZON,6,6,6,8,8,8,8,8,6,6,7,8,7,6,6,8,8,6,8,6,6,7,0
3579,AMAZON,8,8,9,8,7,8,9,8,10,7,7,7,9,7,9,8,7,7,7,8,7,7,0
3587,AMAZON,9,9,7,8,7,9,8,9,8,8,7,7,7,7,8,9,8,9,8,8,9,8,0
3635,AMAZON,7,7,9,7,6,8,7,8,9,7,7,7,7,8,9,7,6,7,8,9,9,7,1
3686,AMAZON,7,6,8,7,7,8,7,6,9,6,8,9,9,8,8,7,6,7,7,6,9,7,1
3751,AMAZON,8,9,8,8,7,8,7,8,8,7,9,8,7,7,7,8,8,7,8,8,7,8,0
3762,AMAZON,8,9,9,9,9,9,9,7,9,9,8,8,7,9,8,7,8,7,10,9,8,8,1
3785,AMAZON,8,8,9,6,8,7,7,9,6,9,8,8,7,8,7,7,9,8,8,9,10,9,0
3816,AMAZON,8,6,8,7,6,8,6,9,7,7,8,7,7,9,8,7,8,7,7,8,8,8,1
3886,AMAZON,8,8,7,8,9,8,9,7,10,10,10,7,8,9,10,9,7,8,7,8,9,7,0
3905,AMAZON,8,8,9,7,8,6,7,8,6,8,7,8,8,9,8,7,9,7,9,10,7,8,0
3911,AMAZON,6,6,8,8,8,7,8,6,6,8,6,8,6,8,8,6,8,6,6,8,6,7,0
3957,AMAZON,7,7,8,8,9,8,10,7,7,7,7,9,7,10,7,9,9,9,9,9,8,8,0
370,AMAZON,8,8,8,8,8,7,7,7,9,7,8,7,9,8,9,7,10,6,8,8,8,7,0
4035,AMAZON,3,5,3,7,8,5,4,3,5,6,6,3,7,6,8,3,2,6,4,6,4,4,0
4058,AMAZON,6,6,8,8,8,8,8,7,6,6,6,6,6,8,8,7,7,6,7,8,7,7,0
4102,AMAZON,7,8,8,8,9,7,8,8,10,7,7,6,9,8,9,8,6,9,10,10,9,7,0
4150,AMAZON,8,9,8,7,7,6,8,7,8,8,6,7,9,8,8,7,8,7,6,8,8,7,1
4161,AMAZON,9,9,9,9,8,9,10,10,9,9,8,8,8,8,9,9,10,7,9,8,8,8,1
4202,AMAZON,7,7,8,9,9,8,9,8,7,7,7,7,7,10,9,9,8,9,8,9,8,8,0
4205,AMAZON,7,6,7,8,8,8,8,7,7,7,8,7,7,9,9,10,9,7,8,7,7,7,1
4226,AMAZON,7,9,7,7,6,8,8,7,9,7,8,6,7,9,9,7,9,9,6,7,7,9,1
4235,AMAZON,9,10,8,8,8,9,8,8,10,10,7,9,9,10,9,7,9,10,8,10,10,9,0
4246,AMAZON,7,7,8,7,6,7,8,6,7,6,7,9,9,8,9,7,9,7,7,8,9,7,0
4288,AMAZON,7,6,7,7,6,8,6,7,7,9,6,7,8,8,9,7,8,7,8,6,7,7,0
4319,AMAZON,5,4,3,8,7,8,8,7,3,8,8,8,6,8,8,5,3,7,7,8,8,7,0
4344,AMAZON,8,6,6,8,9,8,9,8,7,8,8,6,7,7,8,9,8,10,6,7,8,7,1
4361,AMAZON,5,4,5,6,6,3,3,6,8,6,3,5,4,6,8,4,6,7,7,8,7,7,1
4372,AMAZON,8,9,8,9,9,9,9,7,8,7,8,8,7,9,9,7,8,7,8,8,7,7,1
4418,AMAZON,8,9,7,8,9,7,8,9,9,10,8,7,9,8,8,7,6,10,7,8,9,7,1
4444,AMAZON,9,9,8,8,9,9,8,8,9,8,7,7,7,10,10,7,10,8,9,10,9,10,1
4463,AMAZON,8,8,8,9,8,9,9,7,7,10,7,8,7,7,8,6,8,8,6,8,9,7,0
4491,AMAZON,6,8,6,8,6,7,7,7,7,8,8,6,8,6,8,7,7,6,6,7,6,7,1
4492,AMAZON,9,8,7,10,8,7,8,9,7,8,7,8,10,9,8,9,10,9,9,7,7,8,0
4515,AMAZON,8,6,7,9,8,9,7,9,9,7,6,7,9,9,8,7,7,7,7,8,9,8,1
4532,AMAZON,9,8,7,10,10,9,10,8,9,10,10,9,8,10,9,7,7,7,7,9,7,9,1
4539,AMAZON,7,6,7,7,8,6,7,7,9,9,8,7,10,9,10,9,7,8,9,8,8,7,1
4547,AMAZON,7,8,7,9,7,7,8,7,7,9,6,7,6,6,8,7,7,7,7,8,6,7,1
4577,AMAZON,7,7,8,10,9,9,10,7,8,8,7,7,7,7,9,8,7,7,9,8,8,7,0
4615,AMAZON,6,6,6,8,7,8,6,6,8,6,6,6,6,7,8,6,6,7,7,8,7,7,0
4626,AMAZON,4,2,4,4,3,6,6,8,7,4,4,6,7,7,6,5,6,6,7,6,7,6,1
4684,AMAZON,8,6,8,8,8,6,8,6,7,6,9,8,7,7,9,8,8,8,8,6,9,7,0
4701,AMAZON,9,9,8,8,9,7,8,7,10,9,8,10,7,8,9,10,8,10,9,8,10,9,0
4795,AMAZON,7,7,7,8,7,9,9,9,7,9,9,9,9,9,8,8,8,7,7,8,7,8,0
4829,AMAZON,8,9,7,7,9,7,8,7,7,6,6,8,9,9,10,8,8,7,7,9,7,7,1
4881,AMAZON,9,9,7,7,8,7,9,8,10,7,9,9,8,8,9,7,10,7,7,8,9,7,1
4882,AMAZON,9,7,9,9,8,8,7,8,7,8,10,7,9,8,9,9,9,7,8,7,10,7,1
4908,AMAZON,9,8,9,9,7,8,9,8,10,9,9,8,7,9,8,7,9,7,10,10,9,7,1
4939,AMAZON,6,7,7,7,8,8,7,6,7,6,8,6,8,8,8,6,6,7,8,8,6,7,0
4953,AMAZON,10,9,9,10,10,8,8,9,10,10,10,7,7,10,10,7,7,7,7,8,9,8,1
4954,AMAZON,8,7,10,8,7,7,7,7,8,8,6,7,9,7,7,8,9,7,10,10,9,8,1
476,AMAZON,9,8,9,7,8,7,9,8,9,7,9,8,10,7,7,8,8,9,7,9,7,9,0
477,AMAZON,8,8,8,8,7,9,9,8,6,8,7,7,9,8,8,6,7,8,9,9,7,8,0
470,AMAZON,6,6,8,8,6,7,7,7,8,6,6,7,7,7,6,6,6,7,8,8,7,7,1
5017,AMAZON,4,4,4,7,7,4,5,3,4,3,7,6,6,8,6,6,8,7,3,6,7,7,1
5088,AMAZON,9,7,8,10,10,7,9,8,8,9,9,7,8,10,9,7,9,9,8,9,9,8,0
5089,AMAZON,9,9,9,7,7,8,7,7,9,8,7,8,7,8,9,9,7,7,8,9,9,8,1
5113,AMAZON,7,6,7,7,9,6,8,6,8,8,7,7,6,7,8,6,8,7,9,8,6,7,1
5335,AMAZON,8,7,7,8,7,8,9,8,6,10,10,10,6,9,8,7,7,7,9,7,7,9,1
5412,AMAZON,9,9,7,9,7,8,7,7,8,9,9,9,7,10,9,8,7,9,8,10,10,9,0
5446,AMAZON,8,8,8,7,8,9,9,9,8,8,7,8,10,10,8,7,8,7,9,9,6,7,1
5533,AMAZON,7,6,6,8,7,9,8,10,7,9,8,7,8,8,8,7,8,8,7,9,8,9,1
5540,AMAZON,8,8,8,8,7,8,9,8,6,7,7,8,8,9,8,7,8,7,8,7,7,7,1
5543,AMAZON,8,8,10,7,8,9,7,6,6,7,6,7,7,8,9,7,9,7,7,8,8,8,1
5573,AMAZON,7,6,7,8,8,8,7,9,9,7,8,9,8,8,10,9,7,8,7,8,8,7,1
5724,AMAZON,8,8,7,8,7,8,7,8,7,9,8,7,9,8,8,9,9,8,9,9,7,8,1
5740,AMAZON,7,7,7,8,6,8,7,8,6,9,9,7,8,10,9,7,6,8,8,9,7,7,0
5762,AMAZON,8,7,8,7,6,7,8,8,6,8,7,8,7,9,9,8,8,9,8,9,8,7,1
5792,AMAZON,7,7,6,7,8,6,8,6,8,8,6,7,7,6,9,7,7,8,8,8,7,7,1
5820,AMAZON,7,7,8,8,6,7,8,8,10,7,9,8,9,7,10,9,8,8,7,6,8,7,1
5858,AMAZON,6,6,7,8,6,6,6,8,7,6,7,6,8,8,7,8,8,7,7,8,8,7,1
5878,AMAZON,9,9,8,8,8,10,10,9,10,10,8,9,8,10,10,8,9,9,10,9,8,7,0
5934,AMAZON,6,7,6,8,8,7,8,8,8,8,6,6,6,6,6,8,9,7,6,8,8,7,1
5936,AMAZON,7,7,8,8,6,7,8,8,6,9,7,7,7,7,9,8,7,7,7,9,7,7,1
571,AMAZON,7,7,8,8,9,9,9,9,8,7,9,7,6,7,8,7,7,6,7,8,8,7,1
6000,AMAZON,9,9,8,10,10,8,8,8,10,9,9,7,7,9,9,8,9,8,7,7,10,8,1
6001,AMAZON,7,7,7,8,6,8,8,9,8,8,7,10,7,8,9,7,7,6,8,8,6,7,0
6022,AMAZON,5,5,3,7,7,8,7,8,6,6,6,5,5,5,6,4,4,3,3,6,5,5,0
6087,AMAZON,8,6,6,7,8,6,6,8,7,7,9,7,6,8,8,7,9,8,7,9,10,7,1